0 60 -30 0.001 0.001 0.1 0.1 0.1 0.1 0.3 0.3
11.05 37.0703 -nan -812.224 -nan -336.203 -nan 3.83608 -nan 0.235201 -nan
11.1 34.8607 -nan -866.475 -nan -287.198 -nan 3.93865 -nan 0.235185 -nan
11.15 32.4074 -nan -920.538 -nan -214.644 -nan 4.08779 -nan 0.235168 -nan
11.2 29.704 -nan -974.06 -nan -116.129 -nan 4.28849 -nan 0.235151 -nan
11.25 26.7488 -nan -1026.78 -nan 10.016 -nan 4.5442 -nan 0.235133 -nan
11.3 23.5475 -nan -1078.54 -nan 164.534 -nan 4.85649 -nan 0.235114 -nan
11.35 20.115 -nan -1129.23 -nan 347.084 -nan 5.2247 -nan 0.235095 -nan
11.4 16.477 -nan -1178.82 -nan 556.119 -nan 5.64577 -nan 0.235075 -nan
11.45 12.6708 -nan -1227.3 -nan 788.796 -nan 6.11403 -nan 0.235054 -nan
11.5 8.74618 -nan -1274.71 -nan 1040.97 -nan 6.62114 -nan 0.235032 -nan
11.55 4.76361 -nan -1321.08 -nan 1307.27 -nan 7.15635 -nan 0.235009 -nan
11.6 0.796308 -nan -1366.45 -nan 1580.7 -nan 7.70584 -nan 0.234984 -nan
11.65 -3.06431 -nan -1410.87 -nan 1851.83 -nan 8.25173 -nan 0.234959 -nan
11.7 -6.70881 -nan -1454.47 -nan 2109.14 -nan 8.77256 -nan 0.234933 -nan
11.75 -10.0079 -nan -1497.47 -nan 2338.31 -nan 9.24246 -nan 0.234905 -nan
11.8 -12.7983 -nan -1540.44 -nan 2519.43 -nan 9.62693 -nan 0.234876 -nan
11.85 -14.8693 -nan -1584.43 -nan 2624.08 -nan 9.87772 -nan 0.234846 -nan
11.9 -15.9962 -nan -1630.19 -nan 2619.7 -nan 9.93582 -nan 0.234815 -nan
11.95 -16.0979 -nan -1675.8 -nan 2493.96 -nan 9.76195 -nan 0.234782 -nan
12 -15.4016 -nan -1716.43 -nan 2280.56 -nan 9.38648 -nan 0.234749 -nan
12.05 -14.3096 -nan -1749.5 -nan 2036.71 -nan 8.90576 -nan 0.234714 -nan
12.1 -13.1411 -nan -1776.73 -nan 1802 -nan 8.41302 -nan 0.234678 -nan
12.15 -12.0604 -nan -1800.78 -nan 1591.55 -nan 7.95734 -nan 0.234641 -nan
